Date,Open,High,Low,Close,Adj Close,Volume
2019-08-20,118.879997,118.980003,117.940002,117.989998,109.349564,341500
2019-08-21,121.480003,121.900002,120.989998,121.239998,112.361572,639100
2019-08-22,120.180000,120.379997,118.750000,119.470001,110.721191,348800
2019-08-23,119.239998,120.190002,117.320000,117.519997,108.913986,393400
2019-08-26,118.699997,118.860001,118.019997,118.800003,110.100258,329500
2019-08-27,120.930000,121.129997,119.239998,119.949997,111.166039,447500
2019-08-28,118.230003,118.949997,117.410004,118.410004,109.738815,461700
2019-08-29,119.599998,120.300003,119.330002,119.879997,111.101173,322700
2019-08-30,120.779999,120.849998,118.599998,119.150002,110.424629,598100
2019-09-03,118.809998,119.190002,118.089996,118.309998,109.646141,514500
2019-09-04,119.820000,120.660004,119.510002,120.550003,111.722107,532600
2019-09-05,122.709999,123.589996,122.410004,123.300003,114.270721,568700
2019-09-06,122.820000,123.099998,121.830002,121.940002,113.010323,329100
2019-09-09,122.559998,122.660004,121.070000,121.559998,112.658127,513400
2019-09-10,119.480003,120.779999,118.910004,120.779999,111.935257,600900
2019-09-11,120.000000,120.419998,119.559998,119.930000,111.147514,1057800
2019-09-12,120.540001,121.339996,120.070000,120.879997,112.027939,492000
2019-09-13,119.970001,120.040001,118.849998,118.959999,110.248535,525900
2019-09-16,117.110001,117.709999,116.849998,117.510002,108.904724,437200
2019-09-17,118.900002,120.120003,118.769997,120.010002,111.221657,376700
2019-09-18,119.599998,120.129997,118.550003,119.680000,110.915810,371000
2019-09-19,120.320000,120.720001,119.790001,119.809998,111.036285,299700
2019-09-20,119.610001,120.830002,119.029999,119.400002,110.656311,1143900
2019-09-23,118.860001,119.360001,118.629997,118.900002,110.192932,644000
2019-09-24,119.680000,119.940002,118.300003,118.680000,109.989052,996400
2019-09-25,117.250000,117.500000,116.250000,117.260002,108.673027,1036200
2019-09-26,117.519997,118.110001,117.000000,117.660004,109.043747,1813500
2019-09-27,118.970001,119.059998,116.730003,117.440002,108.839844,1339800
2019-09-30,117.260002,118.339996,117.059998,117.870003,109.238365,1270000
2019-10-01,118.120003,118.120003,116.320000,117.150002,108.571091,799100
2019-10-02,114.860001,115.019997,112.940002,113.660004,105.336662,702700
2019-10-03,114.050003,115.269997,112.889999,115.110001,106.680481,505500
2019-10-04,114.980003,115.410004,114.430000,115.370003,106.921440,803700
2019-10-07,114.070000,115.050003,114.070000,114.529999,106.142952,637700
2019-10-08,113.879997,114.440002,112.800003,112.900002,104.632309,797800
2019-10-09,115.849998,116.739998,115.580002,116.050003,107.551643,1061600
2019-10-10,114.959999,116.160004,114.559998,115.250000,106.810226,1062100
2019-10-11,125.720001,127.900002,125.470001,126.199997,116.958351,2234300
2019-10-14,125.940002,126.559998,125.739998,126.050003,116.819336,877700
2019-10-15,125.830002,127.889999,125.470001,127.180000,117.866585,830900
2019-10-16,128.850006,129.279999,128.470001,128.720001,119.293816,1091500
2019-10-17,129.949997,130.119995,128.350006,128.600006,119.182610,972200
2019-10-18,129.779999,129.960007,127.949997,129.130005,119.673790,1655800
2019-10-21,132.979996,133.320007,131.270004,132.710007,122.991623,1210500
2019-10-22,133.309998,133.979996,131.580002,131.800003,122.148262,1092200
2019-10-23,130.910004,131.839996,130.860001,131.660004,122.018509,709100
2019-10-24,131.470001,132.179993,131.389999,131.789993,122.138992,809400
2019-10-25,131.350006,132.229996,130.949997,131.869995,122.213127,569200
2019-10-28,132.570007,133.190002,132.380005,132.770004,123.047234,440900
2019-10-29,131.850006,132.429993,131.660004,131.740005,122.092667,513800
2019-10-30,132.259995,133.500000,131.179993,133.229996,123.473541,485100
2019-10-31,132.729996,133.250000,132.250000,132.580002,122.871147,413800
2019-11-01,133.929993,134.259995,133.300003,133.690002,123.899864,1526900
2019-11-04,134.990005,135.229996,134.270004,134.470001,124.622742,468600
2019-11-05,133.570007,133.720001,132.660004,133.559998,123.779373,486100
2019-11-06,134.860001,135.220001,134.389999,135.110001,125.215866,457600
2019-11-07,134.699997,135.690002,134.619995,135.080002,125.188080,269200
2019-11-08,135.389999,136.440002,135.110001,136.440002,126.448479,327000
2019-11-11,135.960007,137.119995,135.960007,136.779999,126.763588,448700
2019-11-12,135.729996,136.250000,135.169998,135.369995,125.456833,582600
2019-11-13,134.470001,134.809998,134.130005,134.300003,124.465179,450700
2019-11-14,134.149994,134.539993,133.800003,134.410004,124.567139,345400
2019-11-15,134.270004,135.649994,134.080002,135.479996,125.558769,383800
2019-11-18,134.199997,135.779999,133.669998,135.179993,125.280731,731900
2019-11-19,137.009995,137.020004,135.369995,135.740005,125.799736,423600
2019-11-20,135.289993,135.960007,134.250000,135.000000,125.113922,300900
2019-11-21,135.440002,135.929993,135.160004,135.429993,125.512436,273500
2019-11-22,136.229996,136.429993,135.220001,135.410004,125.493904,225800
2019-11-25,135.789993,136.240005,135.399994,135.740005,125.799736,278700
2019-11-26,135.410004,135.860001,134.869995,135.339996,125.429031,660500
2019-11-27,134.929993,135.619995,134.529999,135.410004,125.493904,443900
2019-11-29,135.460007,136.259995,135.389999,135.949997,125.994347,227700
2019-12-02,134.929993,134.929993,132.350006,133.449997,123.677422,626900
2019-12-03,132.860001,134.250000,132.589996,134.220001,124.391052,654800
2019-12-04,135.240005,135.619995,134.860001,135.539993,125.614380,354600
2019-12-05,135.529999,135.580002,134.500000,134.850006,124.974915,486700
2019-12-06,135.509995,135.550003,134.679993,135.000000,125.113922,347100
2019-12-09,135.119995,135.580002,134.800003,134.860001,124.984184,227500
2019-12-10,134.250000,135.160004,134.110001,134.699997,124.835899,300600
2019-12-11,134.250000,135.149994,134.100006,134.910004,125.030533,262400
2019-12-12,135.080002,136.889999,134.809998,136.699997,126.689445,680000
2019-12-13,137.029999,138.740005,136.679993,138.500000,128.357620,745400
2019-12-16,138.630005,139.479996,138.559998,139.389999,129.182449,497100
2019-12-17,135.800003,135.869995,133.910004,134.039993,124.224228,1439300
2019-12-18,133.320007,133.729996,132.610001,133.389999,123.621834,663700
2019-12-19,133.029999,133.529999,132.770004,133.080002,123.334534,454100
2019-12-20,133.929993,134.440002,133.509995,134.410004,124.567139,474300
2019-12-23,133.160004,134.330002,133.029999,133.770004,123.973991,296800
2019-12-24,134.119995,134.360001,133.600006,133.600006,123.816460,117900
2019-12-26,133.919998,134.580002,133.919998,134.580002,124.724686,170000
2019-12-27,135.880005,135.889999,134.740005,134.979996,125.095390,357200
2019-12-30,134.660004,134.660004,132.970001,133.389999,123.621834,257200
2019-12-31,133.169998,134.080002,133.100006,133.990005,124.177902,299300
2020-01-02,135.419998,137.139999,135.399994,136.809998,126.791382,2967500
2020-01-03,133.300003,134.919998,133.300003,133.979996,124.168617,507800
2020-01-06,133.160004,134.220001,133.130005,134.199997,124.372505,442900
2020-01-07,134.080002,134.350006,133.440002,133.619995,123.834976,621200
2020-01-08,133.899994,135.520004,133.759995,135.080002,125.188080,513300
2020-01-09,136.490005,137.289993,136.119995,137.130005,127.087959,457800
2020-01-10,137.550003,138.070007,136.789993,136.979996,126.948944,464000
2020-01-13,137.649994,138.539993,137.330002,138.330002,128.200073,555500
2020-01-14,137.500000,137.929993,137.029999,137.250000,127.199150,342100
2020-01-15,137.330002,137.679993,136.190002,136.399994,126.411385,491700
2020-01-16,136.669998,137.330002,135.910004,137.289993,127.236221,1074900
2020-01-17,139.039993,139.990005,138.750000,139.960007,129.710709,507500
2020-01-21,138.899994,140.190002,138.899994,139.539993,129.321457,579500
2020-01-22,140.350006,140.669998,139.410004,139.580002,129.358521,473100
2020-01-23,138.410004,138.550003,136.690002,138.139999,128.023987,622100
2020-01-24,139.669998,140.100006,138.699997,139.059998,128.876602,595700
2020-01-27,134.869995,140.449997,134.740005,136.250000,126.272385,1275600
2020-01-28,132.470001,132.710007,131.029999,132.460007,122.759941,2188800
2020-01-29,131.880005,132.399994,131.369995,131.649994,122.009239,1368500
2020-01-30,130.369995,131.309998,130.050003,130.970001,121.379044,1631500
2020-01-31,132.100006,132.179993,130.190002,130.770004,121.193695,1023600
2020-02-03,131.820007,132.910004,131.649994,132.639999,122.926750,536300
2020-02-04,134.860001,136.080002,134.679993,135.479996,125.558769,418400
2020-02-05,137.490005,137.500000,136.309998,137.419998,127.356705,663700
2020-02-06,136.089996,136.910004,135.699997,136.490005,126.494820,497800
2020-02-07,135.949997,136.020004,134.639999,135.059998,125.169533,511700
2020-02-10,134.679993,135.369995,134.679993,135.229996,125.327080,381200
2020-02-11,136.500000,137.320007,136.190002,136.550003,126.550430,454100
2020-02-12,138.389999,138.509995,137.610001,138.160004,128.042526,464800
2020-02-13,136.279999,137.699997,136.270004,137.449997,127.384506,365800
2020-02-14,137.009995,137.869995,136.779999,137.440002,127.375252,289800
2020-02-18,137.039993,138.009995,137.009995,137.759995,127.671799,457000
2020-02-19,138.490005,139.910004,138.449997,139.699997,129.469742,499500
2020-02-20,138.850006,139.399994,137.630005,138.429993,128.292755,524000
2020-02-21,137.250000,137.460007,135.940002,136.630005,126.624573,379400
2020-02-24,130.330002,131.919998,130.240005,130.919998,121.332695,676500
2020-02-25,130.919998,131.119995,127.559998,127.779999,118.422653,837300
2020-02-26,128.679993,129.820007,126.699997,126.900002,117.607094,802800
2020-02-27,125.220001,128.270004,124.529999,124.809998,115.670135,1581300
2020-02-28,121.220001,124.190002,120.389999,123.570000,114.520943,1389900
2020-03-02,124.129997,126.650002,121.849998,126.529999,117.264183,931600
2020-03-03,127.239998,129.139999,122.959999,123.800003,114.734100,907000
2020-03-04,124.980003,125.750000,123.349998,125.660004,116.457893,840200
2020-03-05,122.540001,123.820000,120.220001,121.279999,112.398636,1395200
2020-03-06,120.269997,122.400002,119.680000,121.489998,112.593262,1255800
2020-03-09,113.610001,116.190002,110.550003,111.500000,103.334839,1571800
2020-03-10,117.480003,118.570000,113.769997,117.989998,109.349564,1521900
2020-03-11,115.309998,116.019997,111.000000,112.620003,104.372818,1626600
2020-03-12,105.820000,107.750000,100.680000,101.440002,94.011536,1746100
2020-03-13,107.709999,108.550003,100.230003,108.349998,100.415512,1819600
2020-03-16,93.430000,103.110001,93.419998,97.489998,90.350784,1344500
2020-03-17,97.699997,102.989998,95.339996,102.959999,95.420219,1561500
2020-03-18,95.230003,98.059998,93.230003,96.949997,89.850334,1067200
2020-03-19,92.500000,96.169998,90.900002,94.129997,87.236839,1753800
2020-03-20,96.540001,99.019997,93.800003,94.300003,87.394402,1372400
2020-03-23,97.989998,100.989998,97.139999,98.320000,91.120010,1974900
2020-03-24,107.019997,107.470001,103.769997,105.970001,98.209808,1608000
2020-03-25,104.459999,108.989998,102.500000,106.400002,98.608315,1012200
2020-03-26,109.599998,115.330002,109.599998,115.250000,106.810226,1978300
2020-03-27,110.510002,112.970001,108.809998,110.279999,102.204178,881300
2020-03-30,112.089996,113.129997,110.839996,112.900002,104.632309,605100
2020-03-31,111.139999,113.239998,110.209999,110.500000,102.408073,1138600
2020-04-01,107.120003,107.940002,104.839996,105.529999,97.802025,1070500
2020-04-02,103.839996,106.070000,103.220001,104.989998,97.301567,1026700
2020-04-03,104.760002,105.550003,103.830002,105.190002,97.486923,954300
2020-04-06,108.750000,112.089996,108.650002,112.010002,103.807495,1252400
2020-04-07,114.190002,114.250000,111.550003,111.830002,103.640671,929400
2020-04-08,114.070000,115.699997,112.959999,115.019997,106.597069,1214600
2020-04-09,120.080002,121.790001,119.320000,121.410004,112.519127,1371800
2020-04-13,120.099998,122.639999,119.970001,122.379997,113.418083,1060800
2020-04-14,124.589996,126.099998,122.809998,123.330002,114.298523,1110900
2020-04-15,117.489998,120.050003,117.150002,118.650002,109.961250,1144700
2020-04-16,120.430000,120.570000,118.220001,119.279999,110.545113,693300
2020-04-17,122.970001,123.690002,121.980003,123.410004,114.372665,709300
2020-04-20,121.260002,124.139999,121.239998,122.559998,113.584908,919400
2020-04-21,118.930000,119.199997,114.589996,116.000000,107.505302,1671500
2020-04-22,117.379997,117.620003,116.400002,117.099998,108.524750,996500
2020-04-23,115.230003,118.370003,115.120003,115.150002,106.717545,918200
2020-04-24,116.250000,116.559998,114.949997,116.489998,107.959412,715700
2020-04-27,116.440002,117.419998,116.099998,116.860001,108.302330,657300
2020-04-28,119.230003,119.250000,116.739998,116.860001,108.302330,693500
2020-04-29,117.889999,119.690002,117.739998,119.150002,110.424629,571800
2020-04-30,120.220001,120.220001,117.559998,118.540001,109.859291,651600
2020-05-01,116.860001,117.849998,116.080002,116.970001,108.404266,654300
2020-05-04,115.949997,117.220001,115.449997,117.190002,108.608162,552900
2020-05-05,116.430000,118.209999,116.199997,116.570000,108.033554,757700
2020-05-06,114.699997,115.230003,113.019997,113.150002,104.864006,1047900
2020-05-07,117.029999,117.099998,115.010002,115.220001,106.782425,801900
2020-05-08,116.190002,117.070000,115.839996,116.750000,108.200378,476200
2020-05-11,114.879997,116.190002,114.730003,115.279999,106.838020,408200
2020-05-12,116.230003,116.459999,114.330002,114.419998,106.041008,652600
2020-05-13,116.419998,116.489998,112.910004,114.080002,105.725906,696000
2020-05-14,110.599998,113.199997,109.820000,113.129997,104.845467,653200
2020-05-15,112.320000,113.379997,111.970001,113.209999,104.919609,749500
2020-05-18,116.410004,117.930000,115.989998,117.480003,108.876915,621500
2020-05-19,117.500000,118.550003,117.190002,117.230003,108.645233,742100
2020-05-20,120.129997,121.190002,119.430000,120.300003,111.490417,865100
2020-05-21,118.709999,118.949997,116.139999,116.190002,109.235931,948200
2020-05-22,115.620003,116.620003,115.180000,116.070000,109.123116,802600
2020-05-26,123.519997,123.559998,121.070000,121.470001,114.199921,957600
2020-05-27,123.589996,123.690002,121.570000,122.980003,115.619545,860300
2020-05-28,123.260002,125.209999,123.239998,123.629997,116.230644,778700
2020-05-29,127.269997,128.139999,124.910004,128.100006,120.433113,1773300
2020-06-01,127.660004,128.509995,127.180000,128.509995,120.818565,664600
2020-06-02,129.350006,130.479996,128.789993,130.460007,122.651863,721400
2020-06-03,131.630005,133.990005,131.259995,133.559998,125.566315,774400
2020-06-04,133.699997,135.490005,133.570007,134.339996,126.299644,842400
2020-06-05,135.809998,137.100006,135.330002,135.820007,127.691071,778700
2020-06-08,135.649994,136.679993,134.720001,136.610001,128.433777,565500
2020-06-09,137.380005,137.919998,136.240005,136.740005,128.556000,664000
2020-06-10,137.589996,137.869995,136.110001,136.580002,128.405563,603700
2020-06-11,135.600006,135.660004,129.369995,129.500000,121.749313,1119100
2020-06-12,131.929993,132.419998,127.639999,130.139999,122.351006,1082100
2020-06-15,127.970001,131.389999,127.540001,130.419998,122.614250,795700
2020-06-16,133.539993,134.860001,131.910004,133.529999,125.538124,709100
2020-06-17,135.130005,135.740005,133.910004,134.520004,126.468880,648100
2020-06-18,134.940002,135.600006,133.750000,135.139999,127.051758,446900
2020-06-19,138.940002,139.550003,135.979996,137.029999,128.828644,1036100
2020-06-22,139.229996,140.990005,138.559998,140.979996,132.542221,1635000
2020-06-23,142.600006,143.050003,140.710007,141.070007,132.626862,1356900
2020-06-24,138.539993,139.360001,134.919998,135.850006,127.719269,858000
